{INFO }  com.carlot.Driver                                                                             28-Jan-2021 Thursday CST 23:39:54            
{INFO }  com.carlot.Driver                         ==============================                      28-Jan-2021 Thursday CST 23:39:54            
{INFO }  com.carlot.Driver                             WELCOME TO CAR LOT                              28-Jan-2021 Thursday CST 23:39:54            
{INFO }  com.carlot.Driver                         ==============================                      28-Jan-2021 Thursday CST 23:39:54            
{INFO }  com.carlot.Driver                           (1) Log in to my account                          28-Jan-2021 Thursday CST 23:39:54            
{INFO }  com.carlot.Driver                           (2) New Customer                                  28-Jan-2021 Thursday CST 23:39:54            
{INFO }  com.carlot.Driver                           (3) Employee log in                               28-Jan-2021 Thursday CST 23:39:54            
{INFO }  com.carlot.Driver                                                                             31-Jan-2021 Sunday CST 12:46:51              
{INFO }  com.carlot.Driver                         ==============================                      31-Jan-2021 Sunday CST 12:46:51              
{INFO }  com.carlot.Driver                             WELCOME TO CAR LOT                              31-Jan-2021 Sunday CST 12:46:51              
{INFO }  com.carlot.Driver                         ==============================                      31-Jan-2021 Sunday CST 12:46:51              
{INFO }  com.carlot.Driver                           (1) Log in to my account                          31-Jan-2021 Sunday CST 12:46:51              
{INFO }  com.carlot.Driver                           (2) New Customer                                  31-Jan-2021 Sunday CST 12:46:51              
{INFO }  com.carlot.Driver                           (3) Employee log in                               31-Jan-2021 Sunday CST 12:46:51              
{INFO }  com.carlot.Driver                                                                             01-Feb-2021 Monday CST 20:44:25              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 20:44:25              
{INFO }  com.carlot.Driver                             WELCOME TO CAR LOT                              01-Feb-2021 Monday CST 20:44:25              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 20:44:25              
{INFO }  com.carlot.Driver                           (1) Log in to my account                          01-Feb-2021 Monday CST 20:44:25              
{INFO }  com.carlot.Driver                           (2) New Customer                                  01-Feb-2021 Monday CST 20:44:25              
{INFO }  com.carlot.Driver                           (3) Employee log in                               01-Feb-2021 Monday CST 20:44:25              
{INFO }  com.carlot.Driver                         Enter your LOGIN                                    01-Feb-2021 Monday CST 20:44:38              
{INFO }  com.carlot.Driver                         Enter your PASSWORD                                 01-Feb-2021 Monday CST 20:44:55              
{INFO }  com.carlot.Driver                         No customer found with such login or password       01-Feb-2021 Monday CST 20:44:58              
{INFO }  com.carlot.Driver                                                                             01-Feb-2021 Monday CST 20:44:58              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 20:44:58              
{INFO }  com.carlot.Driver                             WELCOME TO CAR LOT                              01-Feb-2021 Monday CST 20:44:58              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 20:44:58              
{INFO }  com.carlot.Driver                           (1) Log in to my account                          01-Feb-2021 Monday CST 20:44:58              
{INFO }  com.carlot.Driver                           (2) New Customer                                  01-Feb-2021 Monday CST 20:44:58              
{INFO }  com.carlot.Driver                           (3) Employee log in                               01-Feb-2021 Monday CST 20:44:58              
{INFO }  com.carlot.Driver                         Enter your LOGIN                                    01-Feb-2021 Monday CST 20:45:04              
{INFO }  com.carlot.Driver                         Enter your PASSWORD                                 01-Feb-2021 Monday CST 20:45:11              
{INFO }  com.carlot.Driver                         Entered loging or password is INVALID. Please try again  01-Feb-2021 Monday CST 20:45:14              
{INFO }  com.carlot.Driver                                                                             01-Feb-2021 Monday CST 20:45:14              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 20:45:14              
{INFO }  com.carlot.Driver                             WELCOME TO CAR LOT                              01-Feb-2021 Monday CST 20:45:14              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 20:45:14              
{INFO }  com.carlot.Driver                           (1) Log in to my account                          01-Feb-2021 Monday CST 20:45:14              
{INFO }  com.carlot.Driver                           (2) New Customer                                  01-Feb-2021 Monday CST 20:45:14              
{INFO }  com.carlot.Driver                           (3) Employee log in                               01-Feb-2021 Monday CST 20:45:14              
{INFO }  com.carlot.Driver                                                                             01-Feb-2021 Monday CST 21:10:09              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:10:09              
{INFO }  com.carlot.Driver                             WELCOME TO CAR LOT                              01-Feb-2021 Monday CST 21:10:09              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:10:09              
{INFO }  com.carlot.Driver                           (1) Log in to my account                          01-Feb-2021 Monday CST 21:10:09              
{INFO }  com.carlot.Driver                           (2) New Customer                                  01-Feb-2021 Monday CST 21:10:09              
{INFO }  com.carlot.Driver                           (3) Employee log in                               01-Feb-2021 Monday CST 21:10:09              
{INFO }  com.carlot.Driver                         Enter your FIRST NAME                               01-Feb-2021 Monday CST 21:10:15              
{INFO }  com.carlot.Driver                         nter your LAST NAME                                 01-Feb-2021 Monday CST 21:10:20              
